module,n_buses,T,time_ms,std_ms,min_ms,n_samples
UC,3,24,1083.1867500043397,278.43684695933115,671.3686999864876,24
UC,14,24,1185.8303083281498,304.5208166132514,729.9992999760434,24
UC,30,24,1657.1389733348042,194.5321430258312,1509.9625000730157,15
