bus,generator,t,p_mw,lmp
Berlin,Ber_gas,5,-0.0,5.0
Berlin,Ber_coal,6,-0.0,5.0
Berlin,Ber_wind,6,9939.365079362955,5.0
Berlin,Ber_gas,6,-0.0,5.0
Berlin,Ber_coal,7,-0.0,5.0
Berlin,Ber_wind,7,10541.587301585641,5.0
Berlin,Ber_gas,7,-0.0,5.0
Berlin,Ber_coal,8,-0.0,5.0
Berlin,Ber_wind,8,10545.422222223802,5.0
Berlin,Ber_gas,8,-0.0,5.0
Berlin,Ber_coal,9,-0.0,5.0
Berlin,Ber_wind,9,10502.66666666824,5.0
Berlin,Ber_gas,9,-0.0,5.0
Berlin,Ber_coal,10,-0.0,5.0
Berlin,Ber_wind,10,10459.911111112679,5.0
Berlin,Ber_gas,10,-0.0,5.0
Berlin,Ber_coal,11,-0.0,5.0
Berlin,Ber_wind,11,10481.28888889046,5.0
Berlin,Ber_gas,11,-0.0,5.0
Berlin,Ber_coal,12,-0.0,5.0
Berlin,Ber_wind,12,10502.66666666824,5.0
Berlin,Ber_gas,12,-0.0,5.0
Berlin,Ber_coal,13,-0.0,5.0
Berlin,Ber_wind,13,10524.04444444602,5.0
Berlin,Ber_gas,13,-0.0,5.0
Berlin,Ber_coal,14,-0.0,5.0
Berlin,Ber_wind,14,10545.422222223802,5.0
Berlin,Ber_gas,14,-0.0,5.0
Berlin,Ber_coal,15,-0.0,5.0
Berlin,Ber_wind,15,10566.800000001582,5.0
Berlin,Ber_gas,15,-0.0,5.0
Berlin,Ber_coal,16,-0.0,5.0
Berlin,Ber_wind,16,10524.04444444602,5.0
Berlin,Ber_gas,16,-0.0,5.0
Berlin,Ber_coal,17,-0.0,5.0
Berlin,Ber_wind,17,10395.777777779338,5.0
Berlin,Ber_gas,17,-0.0,5.0
Berlin,Ber_coal,18,-0.0,5.0
Berlin,Ber_wind,18,10348.888888890462,5.0
Berlin,Ber_gas,18,-0.0,5.0
Berlin,Ber_coal,19,-0.0,5.0
Berlin,Ber_wind,19,10331.644444445996,5.0
Berlin,Ber_gas,19,-0.0,5.0
Berlin,Ber_coal,20,-0.0,5.0
Berlin,Ber_wind,20,10438.533333334897,5.0
Berlin,Ber_gas,20,-0.0,5.0
Berlin,Ber_coal,21,-0.0,5.0
Berlin,Ber_wind,21,10609.555555557143,5.0
Berlin,Ber_gas,21,-0.0,5.0
Berlin,Ber_coal,22,-0.0,5.0
Berlin,Ber_wind,22,10240.476190474299,5.0
Berlin,Ber_gas,22,-0.0,5.0
Berlin,Ber_coal,23,-0.0,5.0
Berlin,Ber_wind,23,9638.253968251613,5.0
Berlin,Ber_gas,23,-0.0,5.0
Madrid,Mad_gas,0,-0.0,3.0
Madrid,Mad_solar,0,3600.0,3.0
Madrid,Mad_gas,1,-0.0,3.0
Madrid,Mad_solar,1,3495.0,3.0
Madrid,Mad_gas,2,-0.0,3.0
Madrid,Mad_solar,2,3425.0,3.0
Madrid,Mad_gas,3,-0.0,3.0
Madrid,Mad_solar,3,3390.0,3.0
Madrid,Mad_gas,4,-0.0,3.0
Madrid,Mad_solar,4,3425.0,3.0
Madrid,Mad_gas,5,-0.0,3.0
Madrid,Mad_solar,5,3600.0,3.0
Madrid,Mad_gas,6,-0.0,3.0
Madrid,Mad_solar,6,3950.0,3.0
Madrid,Mad_gas,7,-0.0,3.0
Madrid,Mad_solar,7,4300.0,3.0
Madrid,Mad_gas,8,-0.0,3.0
Madrid,Mad_solar,8,4580.0,3.0
Madrid,Mad_gas,9,-0.0,3.0
Madrid,Mad_solar,9,4650.0,3.0
Madrid,Mad_gas,10,-0.0,3.0
Madrid,Mad_solar,10,4720.0,3.0
Madrid,Mad_gas,11,-0.0,3.0
Madrid,Mad_solar,11,4685.0,3.0
Madrid,Mad_gas,12,-0.0,3.0
